Step1-1,Step1-2,Step2-1,Step2-2,GetInter-1,GetInter-2,AddPeer-1,AddPeer-2,Stage1,Step4-1,Step4-2,Stage2
534,676,610,753,60080,120110,60101,90158,562301,88,142,66358
195,325,257,381,60077,90086,60101,90121,535411,52,105,78382
217,353,276,443,60073,90127,60096,90162,536378,55,101,78852
199,343,270,402,60079,90088,60108,90120,526757,102,49,78718
185,318,240,386,60073,90126,60099,90149,530573,66,121,71091
543,695,621,762,60082,90101,60113,90134,521593,117,61,22838
213,361,281,440,90103,90113,60114,90129,567070,53,111,26373
187,309,240,404,60078,90101,60112,90140,534766,109,59,26127
180,342,256,410,60103,90099,60105,90143,533015,115,55,71591
173,300,230,354,60077,90112,60102,90135,535200,116,52,26160
556,705,625,773,60083,90118,60103,90126,549010,54,106,73440
245,393,311,454,120107,90113,90125,90190,687463,52,95,50572
197,328,258,400,60088,120100,60121,90138,532743,59,110,68866
180,380,271,450,60077,120112,60109,90131,565622,125,70,52850
174,319,248,377,90094,120127,60107,90111,591173,105,45,22726
541,689,618,753,60082,90100,60111,90125,521860,134,82,39948
240,393,312,474,60082,90140,60098,90116,537569,51,119,26257
221,350,278,410,60075,90094,60097,90118,537269,99,44,26606
194,353,278,417,60077,90117,60101,90124,528530,98,46,25177
195,327,250,382,60074,90102,60106,90139,532569,116,45,26031
576,721,648,797,60079,90135,60130,90167,496856,62,117,25305
217,358,277,593,60075,90122,60101,90115,536078,57,111,22034
193,315,249,371,60072,90099,60107,90161,538100,49,102,25478
187,341,271,405,60073,90104,60094,90116,537663,105,49,22559
190,350,253,421,90102,90100,60130,90129,553320,38,87,83027
566,711,636,809,60070,90101,60133,90131,498937,138,79,25262
251,407,321,479,90096,90090,60114,90144,564633,162,97,24902
186,344,251,404,60080,90097,60135,90167,534367,104,47,74598
193,371,277,450,60081,90124,60141,90126,532169,48,99,73100
162,283,214,342,60079,90107,60131,90132,531854,56,162,35979
